Atmospheric Density,Surface Temperature,Gravity,Water Content,Mineral Abundance,Orbital Period,Proximity to Star,Magnetic Field Strength,Radiation Levels,Atmospheric Composition Index,Prediction
0.47280627,,-0.31387237,-2.0892994,-0.15220085,-0.8856494,0.9001048,,Category_6,0.6929074,5.0
4.1801543,-1.1575146,2.430956,-1.5958501,-3.1886778,-0.6094342,-0.19982848,Category_9,Category_9,,0.0
-0.12900762,1.6215923,-0.78574145,2.0811958,-1.4137963,-0.095151916,-3.5025768,,Category_8,-0.6771818,4.0
-3.1220002,-2.2998178,1.0720925,0.35352385,-0.19252901,2.9170668,-1.9723293,,Category_11,0.10942863,1.0
-1.4594262,2.8902683,0.14875661,-0.8044392,0.49487475,0.044910196,-0.43879554,Category_6,Category_10,0.4079413,9.0
0.7499792,1.0643532,2.5108232,0.10577249,1.2038248,1.3555013,,Category_10,Category_9,0.55145323,2.0
-2.9716463,-0.64825106,-0.91585916,0.25550404,-0.53716487,-2.0722513,1.3555228,Category_8,Category_7,1.876232,1.0
1.9814737,-1.3474451,-0.48375246,-3.3658109,2.6902041,1.1999459,-1.9070132,Category_12,Category_5,0.44305268,
-3.3063536,-0.31671613,-0.43126354,0.38981533,-1.9612155,-1.510182,0.5385932,Category_8,Category_7,0.9340551,1.0
-1.1886868,1.775882,2.6667018,0.4345785,0.20505841,,-1.545261,Category_10,Category_9,-1.973059,4.0
-0.75271165,-2.4925423,-1.0724329,-2.561734,1.1588378,-1.2626382,1.4474442,Category_14,Category_8,0.7260095,3.0
-2.3818588,-0.95303315,,1.7579441,-1.7245846,1.0972645,-1.4457747,Category_10,Category_10,0.14326118,5.0
1.1292579,-3.3334532,-4.423914,-1.0204095,0.7112903,-0.6067844,0.047263876,Category_13,Category_12,-1.6305039,3.0
0.9799481,,2.6310394,2.0004008,,-1.9710137,0.8285682,Category_7,Category_7,-1.2057315,6.0
-3.4921668,-0.845588,-0.6233813,0.5320165,-1.9115344,-1.2160007,0.78075826,Category_7,Category_8,-0.19921733,1.0
-0.6189341,3.2819176,1.9585898,-1.5941248,-1.4363935,2.38769,1.0333116,Category_10,Category_9,-2.0499654,7.0
0.26788527,-0.034130346,0.6799986,1.2395792,0.45261985,1.5074471,0.68219167,Category_14,Category_5,0.39540294,2.0
,-1.0544261,2.4952054,-1.9465,1.2926215,1.4937301,-0.4423563,Category_7,Category_10,-0.29141188,8.0
-0.73900265,-0.77082807,-0.5818418,1.0860432,-0.5859337,-2.4759192,-1.2138982,Category_9,Category_7,-0.7274063,6.0
-2.9858077,0.48141402,1.1482948,-1.6579988,-0.58999366,0.4731257,0.45262063,Category_9,Category_10,-1.6591488,9.0
1.3170861,1.8364625,-1.0314598,,1.9173845,1.4115767,,Category_14,Category_13,-0.56395733,4.0
4.0688334,-1.2436277,1.9970331,-2.240408,-3.647284,-0.09287286,,Category_10,Category_12,0.5390208,0.0
-2.5983796,0.96126914,1.4516963,-0.17117286,,0.6641936,-0.9788695,Category_8,Category_8,-1.2608496,9.0
-3.124634,-2.2129707,0.92814374,,-0.09786875,2.9151933,-1.7724475,Category_10,Category_11,0.22325425,1.0
-1.1161414,-1.2189066,1.2052798,0.4110683,,-1.1049168,1.2749449,Category_11,Category_10,0.7404395,1.0
3.0951283,-4.0956473,-0.8673782,-0.4336458,2.6880016,2.575836,-0.17072795,Category_9,,-0.032487445,2.0
-2.4161274,1.6874408,-1.277711,-0.22213057,-0.15666014,0.08265057,,Category_9,Category_7,-0.14317994,4.0
3.1137848,-2.3555338,-2.1136932,-4.0427403,2.2332258,1.812834,0.05483793,Category_15,Category_8,,3.0
1.3046031,0.7924704,-1.1108501,-1.0328051,0.3993654,2.7511055,3.611857,Category_12,Category_8,-0.5456835,2.0
-2.4632945,0.46025944,1.343739,0.90361786,-0.61030716,1.1810408,-0.63098717,Category_10,Category_10,-1.2431873,7.0
-1.1913491,-0.22655618,-2.5261378,0.7719511,-0.45897582,-1.2806585,1.7265099,Category_11,Category_12,-0.75320256,3.0
,-2.3842351,3.103343,-1.5381037,0.8767117,2.1238022,-0.56810254,Category_8,Category_10,-0.31385008,8.0
-0.064665295,0.4112679,0.4618956,,-0.40640548,-2.8235781,0.25322628,Category_9,Category_5,-1.1520299,6.0
-2.5874722,0.6971459,1.7633953,-1.8171724,,1.868638,0.4742003,Category_12,Category_10,-2.2082133,9.0
2.4678583,-0.9056351,2.7680204,-2.7643628,1.413052,-1.5129015,0.12665136,Category_13,Category_10,0.13583156,0.0
-2.3441858,-0.71999145,1.5619038,0.051535126,-1.7421792,0.4777776,-1.1074169,Category_12,Category_10,-0.080407314,5.0
0.44099137,-0.85042804,0.75264025,1.0059983,2.897418,-4.1238337,1.3612201,Category_8,Category_10,0.8036394,6.0
3.8003175,-0.7346238,3.4637203,-1.4344795,0.016289318,-1.531998,0.36896628,Category_15,,-0.24100879,0.0
-1.2801186,2.43876,-0.87364125,1.3810816,0.41672182,0.4919214,0.778755,Category_11,Category_9,2.1894026,7.0
1.0198809,1.2672892,1.7910388,0.8777347,1.6620302,-3.186501,1.7842976,Category_9,Category_6,-1.2043405,6.0
-3.8722913,-1.4220202,0.028770808,-0.11702805,-1.7925944,-0.7233607,1.4546808,Category_7,Category_10,0.08742134,1.0
-0.9527664,-1.4082619,1.2251629,-2.5088022,1.9656053,0.44682562,-0.17396648,Category_8,,1.7520636,8.0
-2.7908595,1.3725097,-0.6866567,-0.32160547,-2.322178,-0.10255385,0.8423024,Category_8,Category_9,0.6221109,7.0
